symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple
PETRONET,2026-06-17,2026-06-18,2026-06-29,BLOWOFF EXTENSION,52.0,289.26,295.91,273.69,282.25,TIME_STOP,7,2.325,1.012
PHOENIXLTD,2023-05-02,2023-05-03,2023-05-05,BLOWOFF EXTENSION,55.0,711.65,728.09,677.49,728.09,STOP,2,-2.411,-1.044
POLYCAB,2022-04-06,2022-04-07,2022-04-08,BLOWOFF EXTENSION,52.0,2546.59,2631.7,2371.82,2631.7,STOP,1,-3.444,-1.03
PFC,2023-03-09,2023-03-10,2023-03-20,BLOWOFF EXTENSION,50.0,116.79,120.61,105.85,105.85,TARGET,6,9.274,2.838
PNB,2025-07-02,2025-07-03,2025-07-14,BLOWOFF EXTENSION,67.0,109.11,111.58,103.18,107.3,TIME_STOP,7,1.564,0.694
RADICO,2025-10-21,2025-10-23,2025-10-23,BLOWOFF EXTENSION,70.0,3273.22,3333.8,3023.56,3333.8,STOP,0,-1.952,-1.055
RVNL,2024-04-25,2024-04-26,2024-04-29,BLOWOFF EXTENSION,63.0,282.09,291.87,261.15,291.87,STOP,1,-3.569,-1.029
RELIANCE,2023-05-02,2023-05-03,2023-05-05,DEAD-CAT BOUNCE,69.0,1102.21,1115.6,1071.0,1115.6,STOP,2,-1.315,-1.083
RELIANCE,2025-10-21,2025-10-23,2025-10-23,BLOWOFF EXTENSION,53.0,1451.83,1472.27,1392.49,1472.27,STOP,0,-1.509,-1.072
SBILIFE,2022-08-01,2022-08-02,2022-08-12,BLOWOFF EXTENSION,81.0,1276.59,1315.76,1167.03,1246.21,TIME_STOP,7,2.281,0.744
SRF,2023-09-07,2023-09-08,2023-09-18,BLOWOFF EXTENSION,67.0,2428.15,2464.03,2337.53,2323.82,TARGET,6,4.199,2.842
SRF,2026-05-08,2026-05-11,2026-05-20,DEAD-CAT BOUNCE,75.0,2767.23,2839.54,2574.59,2617.2,TIME_STOP,7,5.324,2.038
SHREECEM,2024-12-04,2024-12-05,2024-12-13,BLOWOFF EXTENSION,71.0,26796.56,27493.83,25342.23,27493.83,STOP,6,-2.703,-1.039
SBIN,2021-10-18,2021-10-19,2021-10-19,BLOWOFF EXTENSION,52.0,449.33,461.03,424.3,461.03,STOP,0,-2.704,-1.039
SAIL,2022-08-01,2022-08-02,2022-08-10,DEAD-CAT BOUNCE,75.0,73.26,75.25,69.14,75.25,STOP,5,-2.818,-1.037
SAIL,2023-08-01,2023-08-02,2023-08-11,BLOWOFF EXTENSION,52.0,91.61,93.42,87.95,88.32,TIME_STOP,7,3.497,1.773
SUNPHARMA,2021-10-04,2021-10-05,2021-10-13,BLOWOFF EXTENSION,61.0,785.84,803.06,750.56,803.06,STOP,6,-2.293,-1.046
SUPREMEIND,2022-11-10,2022-11-11,2022-11-11,BLOWOFF EXTENSION,54.0,2332.41,2399.86,2123.34,2399.86,STOP,0,-2.993,-1.035
SUZLON,2026-05-28,2026-05-29,2026-06-01,BLOWOFF EXTENSION,60.0,57.47,58.52,54.02,54.02,TARGET,1,5.914,3.242
TVSMOTOR,2022-06-27,2022-06-28,2022-06-28,BLOWOFF EXTENSION,58.0,782.19,802.58,736.04,802.58,STOP,0,-2.707,-1.039
TVSMOTOR,2023-04-17,2023-04-18,2023-04-19,BLOWOFF EXTENSION,61.0,1141.7,1165.81,1085.56,1165.81,STOP,1,-2.212,-1.048
TVSMOTOR,2023-05-08,2023-05-09,2023-05-16,BLOWOFF EXTENSION,58.0,1206.29,1236.42,1131.27,1236.42,STOP,5,-2.599,-1.041
TVSMOTOR,2025-04-22,2025-04-23,2025-04-23,BLOWOFF EXTENSION,65.0,2711.1,2781.28,2511.73,2781.28,STOP,0,-2.69,-1.039
TATACONSUM,2021-08-18,2021-08-20,2021-08-20,BLOWOFF EXTENSION,55.0,795.68,815.01,752.27,815.01,STOP,0,-2.531,-1.042
TATACONSUM,2022-07-18,2022-07-19,2022-07-21,BLOWOFF EXTENSION,54.0,761.09,776.0,728.38,776.0,STOP,2,-2.06,-1.052
TATACONSUM,2023-05-03,2023-05-04,2023-05-09,BLOWOFF EXTENSION,71.0,747.54,764.11,710.73,764.11,STOP,3,-2.318,-1.046
TATAELXSI,2023-05-11,2023-05-12,2023-05-23,DEAD-CAT BOUNCE,83.0,6799.06,6930.53,6326.62,6639.11,TIME_STOP,7,2.254,1.166
TATAELXSI,2023-11-08,2023-11-09,2023-11-16,BLOWOFF EXTENSION,70.0,7842.2,8075.45,7356.8,8075.45,STOP,4,-3.076,-1.034
TMPV,2026-05-28,2026-05-29,2026-05-29,DEAD-CAT BOUNCE,83.0,397.25,403.22,361.75,403.22,STOP,0,-1.603,-1.067
