symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple,year,qty,pnl,equity
BHARATFORG,2025-03-24,2025-03-25,2025-04-03,DEAD-CAT BOUNCE,57.0,1173.44,1234.04,1100.23,1100.23,TARGET,6,6.142,1.189,2025,615.7,44372.0,5018905.0
HAVELLS,2025-04-22,2025-04-23,2025-05-05,DEAD-CAT BOUNCE,84.0,1620.66,1699.92,1528.48,1553.36,TIME_STOP,7,4.055,0.829,2025,474.9,31210.0,5050116.0
OFSS,2025-04-24,2025-04-25,2025-05-07,DEAD-CAT BOUNCE,84.0,8039.1,8442.25,7394.74,7663.14,TIME_STOP,7,4.579,0.913,2025,93.9,34584.0,5084699.0
BANDHANBNK,2025-04-24,2025-04-25,2025-05-07,DEAD-CAT BOUNCE,58.0,167.35,176.03,155.04,153.6,TIME_STOP,7,8.123,1.567,2025,4393.5,59724.0,5144423.0
JIOFIN,2025-04-24,2025-04-25,2025-05-07,DEAD-CAT BOUNCE,55.0,255.84,267.15,237.42,244.67,TIME_STOP,7,4.27,0.966,2025,3230.4,35290.0,5179713.0
BHARATFORG,2025-05-15,2025-05-16,2025-05-27,DEAD-CAT BOUNCE,69.0,1231.86,1295.91,1136.67,1235.08,TIME_STOP,7,-0.361,-0.069,2025,606.5,-2697.0,5177016.0
DELHIVERY,2025-05-15,2025-05-16,2025-05-19,DEAD-CAT BOUNCE,53.0,321.83,336.62,301.4,336.62,STOP,1,-4.697,-1.022,2025,2625.3,-39684.0,5137332.0
JIOFIN,2025-05-19,2025-05-20,2025-05-27,DEAD-CAT BOUNCE,58.0,275.05,286.66,258.68,286.66,STOP,5,-4.324,-1.024,2025,3318.7,-39470.0,5097862.0
BAJAJ-AUTO,2025-05-27,2025-05-28,2025-06-02,DEAD-CAT BOUNCE,52.0,8551.47,8867.72,8100.36,8100.36,TARGET,3,5.178,1.4,2025,120.9,53533.0,5151395.0
OFSS,2025-06-17,2025-06-18,2025-06-26,DEAD-CAT BOUNCE,53.0,9211.56,9610.67,8613.8,8613.8,TARGET,6,6.392,1.475,2025,96.8,56999.0,5208393.0
ASIANPAINT,2025-07-03,2025-07-04,2025-07-09,DEAD-CAT BOUNCE,73.0,2397.99,2483.07,2290.52,2494.93,STOP,3,-4.144,-1.168,2025,459.1,-45625.0,5162768.0
PAGEIND,2026-04-08,2026-04-09,2026-04-15,DEAD-CAT BOUNCE,84.0,35027.1,36662.92,32718.64,36662.92,STOP,3,-4.772,-1.022,2026,23.7,-39565.0,5123203.0
POLICYBZR,2026-04-24,2026-04-27,2026-05-06,DEAD-CAT BOUNCE,82.0,1665.33,1755.71,1555.03,1700.0,TIME_STOP,7,-2.183,-0.402,2026,425.1,-15456.0,5107748.0
SRF,2026-05-08,2026-05-11,2026-05-20,DEAD-CAT BOUNCE,75.0,2767.23,2900.27,2574.59,2617.2,TIME_STOP,7,5.324,1.107,2026,287.9,42422.0,5150170.0
COFORGE,2026-05-11,2026-05-12,2026-05-19,DEAD-CAT BOUNCE,68.0,1358.24,1438.75,1247.92,1438.75,STOP,5,-6.03,-1.017,2026,479.8,-39294.0,5110876.0
TMPV,2026-05-28,2026-05-29,2026-06-09,DEAD-CAT BOUNCE,83.0,397.25,410.85,361.75,390.71,TIME_STOP,7,1.548,0.452,2026,2818.5,17332.0,5128208.0
CDSL,2026-06-22,2026-06-23,2026-07-02,DEAD-CAT BOUNCE,85.0,1352.89,1418.94,1256.02,1323.73,TIME_STOP,7,2.057,0.421,2026,582.3,16205.0,5144413.0
